小羊上山S1 | 一 | yī | 1. 数名，最小的正整数（在钞票和单据上常用大写“壹”代）。<br>2. 纯；专：专一。一心一意。<br>3. 全；满：一生。一地水。<br>4. 相同：一样。颜色不一。<br>5. 另外的：蟋蟀一名促织。<br>6. 表示动作短暂，或是一次，或具试探性：算一算。试一试。<br>7. 乃；竞：一至于此。<br>8. 部分联成整体：统一。整齐划一。<br>9. 或者：一胜一负。<br>10. 初次：一见如故。<br>11. 中国古代乐谱记音符号，相当于简谱中的低音“7”。
小羊上山S1 | 月 | yuè | 1. 月亮；月球。地球的卫星：月光（月球反射太阳的光）。月蚀。<br>2. 计时单位，公历一年分十二个月。<br>3. 按月出现的，每月的：月刊。月薪。<br>4. 形状像月亮的，圆的：月饼。月琴。<br>5. 妇女产后一个月以内的时间：月子。
小羊上山S1 | 亮 | liàng | 1. 明，有光：天亮了，敞亮。明亮。豁亮。亮光。亮度。<br>2. 光线：屋子里一点亮儿也没有。<br>3. 明摆出来，显露，显示：亮相。<br>4. 明朗，清楚：心里亮了。<br>5. 声音响：洪亮。响亮。<br>6. 使声音响：亮开嗓子唱。
小羊上山S1 | 星 | xīng | 1. 天文学上指宇宙间能发光的或反射光的天体；一般指夜间天空中发光的天体：星球。恒星。行（xíng ）星。卫星。披星戴月。<br>2. 细碎的小颗粒东西：火星儿。<br>3. 秤等衡器上记数的点：定盘星。<br>4. 军官衣领上的徽记：五星将军。<br>5. 形容夜间：星行。星奔。<br>6. 星名，二十八宿之一：星宿。<br>7. 像星一样排列，分散：星星点点。<br>8. 喻某一方面新出现的杰出人物：影星。歌星。<br>9. 古代妇女面上所饰的花点。<br>10. 以星象推算吉凶祸福的方术：星术。星相（xiàng ）。<br>11. 原子核物理学上指高能粒子射入核乳胶或云室、气泡室时发现有许多径迹从一点发出的现象。<br>12. 国际通用的衡量宾馆、饭店的等级标准：星级。五星饭店。
小羊上山S1 | 马 | mǎ | 1. 哺乳动物，颈上有鬃，尾生长毛，四肢强健，善跑，供人骑或拉东西：马匹。骏马。马到成功。马首是瞻（喻跟随别人行动）。<br>2. 大：马蜂。马勺。<br>3. 姓。
小羊上山S1 | 牛 | niú | 1. 哺乳动物，趾端有蹄，头上长一对角，是反刍类动物，力量很大，能耕田拉车，肉和奶可食，角、皮、骨可作器物：牛刀小试（喻有很大的本领，先在小事情上施展一下）。牛黄。牛角。<br>2. 星名，二十八宿之：牛斗（指牛宿和斗宿二星）。<br>3. 喻固执或骄傲：牛气。<br>4. 姓。
小羊上山S1 | 羊 | yáng | 1. 哺乳动物，反刍类，一般头上有一对角，品种很多：绵羊。黄羊。羚羊。羊羔。羊毫。羊肠线。羊肠小道。<br>2. 姓。
小羊上山S1 | 兔 | tù | 1. 哺乳动物，耳长，尾短，上唇中间裂开，后肢较长，跑得快：兔子。兔脱（迅速地逃走）。兔毫笔。兔起鹘落（“鹘”，打猎用的猛禽。兔子才起来而鹘已经扑下去，喻动作敏捷。亦喻作书画或写文章下笔迅捷）。<br>2. 古称娈童（指被当作女性玩弄的美貌男子）。
小羊上山S1 | 虫 | chóng | 1. 节肢动物的一类：昆虫。益虫。雕虫小技（喻微不足道的技能）。<br>2. 动物的通称：大虫（老虎）。长虫（蛇）。介虫（有介壳的虫子）。
小羊上山S1 | 鸟 | niǎo | 1. 脊椎动物的一纲，温血卵生，全身有羽毛，后肢能行走，前肢变为翅，一般能飞：鸟类。候鸟。益鸟。鸟语花香。
小羊上山S1 | 花 | huā | 1. 植物的繁殖器官，典型的由“花托”、“花萼”、“花冠”、“雌蕊群”和“雄蕊群”组成，有各种形状和颜色，一般长得很美丽，有的有香味，凋谢后结成果实。<br>2. 供观赏的植物：花木。花草。花匠。花事（游春看花等事）。<br>3. 形状像花的东西：雪花。浪花。钢花。火花。棉花（棉的絮亦称花）。礼花（烟火）。挂花（指战斗中受伤）。<br>4. 用花装饰的：花圈（quān ）。花篮。花灯。花车。<br>5. 具有条纹或图形的，不只一种颜色的：花样。花边。花花绿绿。印花。<br>6. 指“痘”：天花（一种急性传染病）。<br>7. 混杂的，不单纯的：花猫。花白头发。<br>8. 虚伪的，用来迷惑人的：花言巧语。<br>9. 表面好看，没有实效的：打花拳。花架子。<br>10. 模糊不清：头昏眼花。<br>11. 喻事业的精华：体育之花。<br>12. 喻女子：姊妹花。<br>13. 用掉：花钱。<br>14. 名目繁复的：花名册（人员名册）。<br>15. 犒赏的钱或物：花红。<br>16. 某些细嫩的东西：蚕花。鱼花。<br>17. 指妓女或与妓女有关的：花娘（妓女）。花魁。<br>18. 〔花甲〕指六十岁，如“年逾花花。”<br>19. 姓。
小羊上山S1 | 草 | cǎo | 1. 对高等植物中除了树木、庄稼、蔬菜以外的茎干柔软的植物的统称；广义指茎干比较柔软的植物，包括庄稼和蔬菜：青草。野草。茅草。水草。花草。草鞋。草堂（茅草盖的堂屋，旧时文人以此自称山野间的住所，有自谦卑陋的意思）。草原。草坪。草行露宿。草菅人命。<br>2. 特指用作燃料、饲料的稻麦之类的茎叶：草料。柴草。稻草。<br>3. 粗糙，不细致：草率（shuài ）。草鄙（粗野朴陋）。草具（粗劣的食物）。<br>4. 汉字的一种书体：草书。草字（亦为旧时谦称自己的别名）。章草（草书的一种，笔画保存了一些隶书的笔势，因其最初用于奏章，故名“章草”）。狂草。草体（❶指汉字草书；❷拼音文字的手写体，有大草、小草之分）。<br>5. 打稿子，亦指稿子；引申为初步的，非正式的：草拟。草诏（为皇帝草拟诏书）。<br>6. 荒野，原野，引申为在野的、民间的：草野。草莽。草寇。草贼。<br>7. 雌性的（用于某些家畜、家禽）：草鸡。
小羊上山S1 | 树 | shù | 1. 木本植物的通称：树木。树林。树大根深（喻势力大，根基牢固）。<br>2. 种植，培育：树艺（“艺”，种植）。树荆棘得刺，树桃李得荫。<br>3. 立，建立：树立。树敌。<br>4. 量词，相当于“株”、“棵”：一树梅花。<br>5. 姓。
小羊上山S1 | 地 | dì | 1. 人类生长活动的所在：地球（太阳系九大行星之一）。地心说。<br>2. 地球或地球的某部分：地质。地壳。<br>3. 地球表面除去海洋、江河、湖泊的部分：陆地。地下。<br>4. 地球表面的土壤：土地。田地。地政。地主。<br>5. 地球上的一个区域：地区。此地。<br>6. 建筑材料铺成的平面：地板。地毯。<br>7. 所在空间或区域的部位：地点。目的地。<br>8. 人在社会关系中所处的位置：易地以处。<br>9. 表示思想或行动的某种活动领域：见地。境地。心地。<br>10. 底子：质地。
小羊上山S1 | 吃 | chī | 1. 把东西送进口中咽下，或依靠某种事物生活：吃饭。吃药。吃斋。<br>2. 消灭（多用于军事、棋奕）：吃掉敌人一个连。<br>3. 吸：吃烟。<br>4. 感受：吃惊。吃紧。吃一堑，长（zhǎng ）一智。<br>5. 挨：吃官司。<br>6. 承受，支持：吃不消。<br>7. 船身入水的深度：吃水深浅。<br>8. 被：吃那厮砍了一刀。<br>9. 说话结巴：口吃。
小羊上山S1 | 看 | kàn | 1. 使视线接触人或物：看见。看书。看齐。<br>2. 观察，判断：看病。观看。看好（根据市场情况，估计某种商品好销）。看透（透彻深刻地了解或认识。亦称“看破”、“看穿”）。看风使舵。<br>3. 访问，拜望：看望。看朋友。<br>4. 照应，对待：看重（zhòng ）。看轻。看待。<br>5. 想，以为：看法。<br>6. 先试试以观察它的结果：做做看。<br>7. 提防，小心：别跑，看摔着。<br>8. 安排：看茶。看酒。看座。
小羊上山S1 | 走 | zǒu | 1. 行：走路。走步。<br>2. 往来：走亲戚。<br>3. 移动：走向（延伸的方向）。走笔（很快地写）。钟表不走了。<br>4. 往来运送：走信。走私。<br>5. 离去：走开。刚走。出走。<br>6. 经过：走账。走内线。走后门。<br>7. 透漏出去，超越范围：走气（漏气）。<br>8. 失去原样：走形。走样。<br>9. 古代指奔跑：走马。不胫而走。<br>10. 仆人，“我”的谦辞：牛马走（当牛作马的仆人，如“太史公走走走。”）。
小羊上山S1 | 笑 | xiào | 1. 露出愉快的表情，发出欢喜的声音：笑容。笑颜。笑眯眯。谈笑风生。<br>2. 讥嘲：笑柄。笑话。笑谈。贻笑大方。嘲笑。见笑。耻笑。
小羊上山S1 | 来 | lái | 1. 由另一方面到这一方面，与“往”、“去”相对：来回。来往。过来。归来。来鸿去燕（喻来回迁徙，不能在一地常住；亦喻书信来往）。<br>2. 从过去到现在：从来。向来。<br>3. 现在以后，未到的时间：来年。将来。来日方长。<br>4. 用在数词或数量词后面，表示约略估计：二百来头猪。<br>5. 做某个动作：胡来。<br>6. 用在动词前，表示要做某事：大家来动脑筋。<br>7. 用在动词后，表示做过（一般均可用“来着”）：昨天他哭来。<br>8. 用在动词后，表示动作的趋向：上来。<br>9. 表示发生：暴风雨来了。<br>10. 在数词一、二、三后面，表示列举理由：这台收录机一来音质好，二来价钱便宜，我就买了。<br>11. 用做诗、歌词中的衬字：八月里来桂花香。<br>12. 表示语气，归去来兮！<br>13. 姓。
小羊上山S1 | 飞 | fēi | 1. 鸟类或虫类等用翅膀在空中往来活动：飞天（佛教壁画或石刻中的空中飞舞的神）。飞跃。飞鸟。<br>2. 在空中运动：飞雪。火箭飞向太空。<br>3. 形容极快：飞驶。飞黄腾达（喻人骤然得志，官位升迁快）。<br>4. 极，特别地：刀子飞快。<br>5. 无根据的、无缘无故的：流言飞语。<br>6. 像架在空中的形状：飞桥。飞阁。<br>7. 感情的表达与传递：飞眼。
小羊上山S1 | 爱 | ài | 1. 对人或事有深挚的感情：喜爱。爱慕。爱情。爱戴。爱抚。爱怜。爱恋。爱莫能助（虽同情并愿意帮助，但力量做不到）。友爱。挚爱。仁爱。厚爱。热爱。<br>2. 喜好（hào）：爱好（hào）。爱唱歌。<br>3. 容易：铁爱生锈。<br>4. 重视而加以保护：爱护。爱惜。<br>5. 吝惜：“百姓皆以王为爱也”。
小羊上山S1 | 是 | shì | 1. 表示解释或分类：他是工人。《阿Ｑ正传》的作者是鲁迅。<br>2. 表示存在：满身是汗。<br>3. 表示承认所说的，再转入正意，含有“虽然”的意思：诗是好诗，就是太长了。<br>4. 表示适合：来的是时候。<br>5. 表示任何：凡是。是活儿他都肯干。<br>6. 用于问句：他是走了吗？<br>7. 加重语气，有“的确”、“实在”的意思：天气是冷。<br>8. 对，合理，与“非”相对：是非。他说的是。实事求是。<br>9. 认为对：是古非今。各行其是。深是其言。<br>10. 表示应承或同意（单说一个“是”字）：是，我就去。<br>11. 这，此：是日。是可忍，孰不可忍。比比皆是。<br>12. 助词，把行为对象提前表示只这样做：惟你是问。惟利是图。<br>13. 姓。
小羊上山S1 | 跑 | pǎo | 1. 奔，两脚交互向前迅速跃进：跑步。奔跑。赛跑。<br>2. 很快地移动：跑动。<br>3. 逃：跑出笼子。<br>4. 漏泄：跑电。跑气。<br>5. 为某种事物奔走：跑买卖。跑外的。跑堂。跑码头。跑单帮。
小羊上山S1 | 跳 | tiào | 1. 两脚离地全身向上或向前的动作：跳跃。跳水。跳荡。跳跶。跳高。跳远。跳舞。弹（tán ）跳。暴跳如雷。跳梁小丑（指上蹿下跳，兴风作浪的微不足道的坏人）。<br>2. 越过：跳班。跳棋。跳槽。<br>3. 一起一伏地动：心跳。眼跳。心惊肉跳。
小羊上山S1 | 高 | gāo | 1. 由下到上距离大的，与“低”相对：高峰。高空。高踞。高原。高耸。高山流水（喻知己、知音或乐曲高妙）。高屋建瓴（形容居高临下的形势）。高瞻远瞩。<br>2. 高度：他身高一米八。<br>3. 等级在上的：高级。高考。<br>4. 在一般标准或平均程度之上：高质量。高消费。高价。高档。高手。高能物理。<br>5. 声音响亮：引吭高歌。<br>6. 敬辞，称别人的事物：高见。高就。高论。高寿。高堂。高徒。<br>7. 热烈、盛大：高昂。兴高采烈。<br>8. 显贵，道德水平高：崇高。清高。高风亮节。高尚。高雅。高洁。<br>9. 宗族中最在上之称：高祖。<br>10. 酸根或化合物中比标准酸根多含一个氧原子的：高锰酸钾。<br>11. 姓。
小羊上山S1 | 兴 |  | 
小羊上山S1 | 快 | kuài | 1. 速度大，与“慢”相对：快车。快件。快步。快速。快捷。快马加鞭。<br>2. 赶紧，从速：赶快。<br>3. 将，就要；接近：天快亮了。<br>4. 灵敏：他脑子真快。眼明手快。<br>5. 锐利，锋利，与“钝”相对：王麻子刀剪真快。<br>6. 爽利，直截了当：爽快。心直口快。快人快语。<br>7. 高兴舒服：快乐。快意。痛快。愉快。快感。快事。快慰。
